id,date,kind,counterparty,amountUsd,dueDate,paidDate,termsDays,invoiceId,sourceId
LG-0134,2025-10-15,AR,"Thistledown Farms",27168,2025-11-29,2025-12-05,45,AR-00134,ledger-ar
LG-0158,2025-10-15,AR,"Vantage Precision",18997,2025-11-14,2025-11-11,30,AR-00158,ledger-ar
LG-0242,2025-10-15,AR,"Fenmore Aggregates",10505,2025-11-14,2025-11-19,30,AR-00242,ledger-ar
LG-0398,2025-10-15,AP,"Dunmore Castings",59980,2025-11-14,2025-11-13,30,AP-00398,ledger-ap
LG-0446,2025-10-15,AP,"Grantham Facilities",23065,2025-11-14,2025-11-12,30,AP-00446,ledger-ap
LG-0506,2025-10-15,AP,"Trellis HR Systems",5934,2025-11-14,2025-11-14,30,AP-00506,ledger-ap
LG-0578,2025-10-15,AP,"Aldergate Packaging",17203,2025-11-14,2025-11-12,30,AP-00578,ledger-ap
LG-0003,2025-11-02,AR,"Northwind Logistics",204960,2025-12-02,2026-01-08,30,AR-00003,ledger-ar
LG-0099,2025-11-03,AR,"Ironbridge Rail",45826,2025-12-18,2025-12-19,45,AR-00099,ledger-ar
LG-0279,2025-11-03,AR,"Oakhurst Timber",7816,2025-12-18,2025-12-20,45,AR-00279,ledger-ar
LG-0327,2025-11-04,AP,"Kestrel Freight",107735,2025-12-19,2025-11-19,45,AP-00327,ledger-ap
LG-0111,2025-11-05,AR,"Kelvin Process",37359,2025-12-05,2025-12-21,30,AR-00111,ledger-ar
LG-0219,2025-11-05,AR,"Braddock Tooling",14521,2025-12-05,2025-12-12,30,AR-00219,ledger-ar
LG-0291,2025-11-05,AR,"Wexley Plastics",7869,2025-12-05,2025-12-06,30,AR-00291,ledger-ar
LG-0543,2025-11-05,AP,"Kavanagh Consulting",7598,2025-12-05,2025-12-07,30,AP-00543,ledger-ap
LG-0015,2025-11-06,AR,"Calder Foods",131040,2025-12-06,2026-01-01,30,AR-00015,ledger-ar
LG-0147,2025-11-06,AR,"Ellery Chemical",23477,2025-12-06,2025-12-06,30,AR-00147,ledger-ar
LG-0315,2025-11-06,AR,"Halcyon Optics",4788,2025-12-06,2025-12-16,30,AR-00315,ledger-ar
LG-0363,2025-11-06,AP,"Tallow Bay Shipping",36307,2025-12-21,2025-12-21,45,AP-00363,ledger-ap
LG-0435,2025-11-06,AP,"Sandoval Bearings",33706,2025-12-06,2025-12-05,30,AP-00435,ledger-ap
LG-0519,2025-11-06,AP,"Radley Legal",9369,2025-12-06,2025-12-10,30,AP-00519,ledger-ap
LG-0591,2025-11-06,AP,"Cobblestone Print",3950,2025-12-06,2025-12-04,30,AP-00591,ledger-ap
LG-0603,2025-11-06,AP,"Hargrave Tooling",16347,2025-12-21,2025-12-21,45,AP-00603,ledger-ap
LG-0063,2025-11-07,AR,"Cortland Manufacturing",54742,2025-12-22,2025-12-30,45,AR-00063,ledger-ar
LG-0399,2025-11-07,AP,"Dunmore Castings",65034,2025-12-07,2025-12-09,30,AP-00399,ledger-ap
LG-0483,2025-11-07,AP,"Lumen Analytics",9742,2025-12-07,2025-12-07,30,AP-00483,ledger-ap
LG-0027,2025-11-08,AR,"Boreal Systems",74772,2025-12-08,2025-12-05,30,AR-00027,ledger-ar
LG-0051,2025-11-08,AR,"Pell & Hardy",50352,2025-12-08,2025-12-09,30,AR-00051,ledger-ar
LG-0339,2025-11-08,AP,"Halden Transport",60456,2025-12-23,2025-12-21,45,AP-00339,ledger-ap
LG-0387,2025-11-08,AP,"Corvid Alloys",92367,2025-12-23,2025-12-22,45,AP-00387,ledger-ap
LG-0447,2025-11-08,AP,"Grantham Facilities",23368,2025-12-08,2025-12-11,30,AP-00447,ledger-ap
LG-0039,2025-11-09,AR,"Attwater Group",69102,2025-12-09,2025-12-12,30,AR-00039,ledger-ar
LG-0159,2025-11-09,AR,"Vantage Precision",20950,2025-12-09,2025-12-07,30,AR-00159,ledger-ar
LG-0267,2025-11-09,AR,"Crestline Motors",8286,2025-12-09,2025-12-09,30,AR-00267,ledger-ar
LG-0351,2025-11-09,AP,"Verity Carriers",53362,2025-12-24,2025-12-23,45,AP-00351,ledger-ap
LG-0555,2025-11-09,AP,"Stonepath Insurance",15678,2025-12-09,2025-12-08,30,AP-00555,ledger-ap
LG-0075,2025-11-10,AR,"Ridgeway Utilities",55299,2025-12-25,2025-12-25,45,AR-00075,ledger-ar
LG-0087,2025-11-10,AR,"Sable Point Marine",49865,2025-12-10,2025-12-09,30,AR-00087,ledger-ar
LG-0471,2025-11-10,AP,"Ormsby Maintenance",17731,2025-12-10,2025-12-08,30,AP-00471,ledger-ap
LG-0495,2025-11-10,AP,"Cindermill Cloud",12442,2025-12-10,2025-12-08,30,AP-00495,ledger-ap
LG-0579,2025-11-10,AP,"Aldergate Packaging",19236,2025-12-10,2025-12-10,30,AP-00579,ledger-ap
LG-0123,2025-11-11,AR,"Marrow Fabrication",30023,2025-12-26,2025-12-21,45,AR-00123,ledger-ar
LG-0171,2025-11-11,AR,"Holloway Mining",23404,2025-12-11,2025-12-06,30,AR-00171,ledger-ar
LG-0207,2025-11-11,AR,"Ashfield Energy",14361,2025-12-11,2025-12-09,30,AR-00207,ledger-ar
LG-0231,2025-11-11,AR,"Norwood Textiles",12119,2025-12-26,2026-01-02,45,AR-00231,ledger-ar
LG-0567,2025-11-11,AP,"Merrick Safety",5650,2025-12-11,2025-12-13,30,AP-00567,ledger-ap
LG-0195,2025-11-12,AR,"Quarry Lane Metals",16025,2025-12-12,2025-12-20,30,AR-00195,ledger-ar
LG-0459,2025-11-12,AP,"Bluepeak Energy",22230,2025-12-12,2025-12-11,30,AP-00459,ledger-ap
LG-0183,2025-11-13,AR,"Delmar Packaging",18120,2025-12-13,2025-12-10,30,AR-00183,ledger-ar
LG-0243,2025-11-13,AR,"Fenmore Aggregates",9134,2025-12-13,2025-12-08,30,AR-00243,ledger-ar
LG-0255,2025-11-13,AR,"Larkspur Dairy",8123,2025-12-28,2025-12-27,45,AR-00255,ledger-ar
LG-0411,2025-11-13,AP,"Whitlock Components",52497,2025-12-13,2025-12-13,30,AP-00411,ledger-ap
LG-0423,2025-11-13,AP,"Ferris Electronics",47703,2025-12-13,2025-12-15,30,AP-00423,ledger-ap
LG-0135,2025-11-14,AR,"Thistledown Farms",32988,2025-12-29,2026-01-06,45,AR-00135,ledger-ar
LG-0303,2025-11-14,AR,"Sturgis Bearing",6306,2025-12-14,2025-12-26,30,AR-00303,ledger-ar
LG-0375,2025-11-14,AP,"Prairie Steel Supply",91786,2025-12-29,2025-12-31,45,AP-00375,ledger-ap
LG-0507,2025-11-14,AP,"Trellis HR Systems",7866,2025-12-14,2025-12-02,30,AP-00507,ledger-ap
LG-0531,2025-11-14,AP,"Pinehurst Audit",9184,2025-12-29,2025-12-29,45,AP-00531,ledger-ap
LG-0615,2025-11-14,AP,"Wren Calibration",5639,2025-12-14,2025-12-14,30,AP-00615,ledger-ap
LG-0004,2025-12-02,AR,"Northwind Logistics",179340,2026-01-01,2026-02-09,30,AR-00004,ledger-ar
LG-0136,2025-12-03,AR,"Thistledown Farms",29901,2026-01-17,2026-01-17,45,AR-00136,ledger-ar
LG-0172,2025-12-03,AR,"Holloway Mining",18636,2026-01-02,2025-12-31,30,AR-00172,ledger-ar
LG-0208,2025-12-03,AR,"Ashfield Energy",12535,2026-01-02,2025-12-31,30,AR-00208,ledger-ar
LG-0076,2025-12-04,AR,"Ridgeway Utilities",48826,2026-01-18,2026-01-16,45,AR-00076,ledger-ar
LG-0232,2025-12-04,AR,"Norwood Textiles",9348,2026-01-18,2026-01-16,45,AR-00232,ledger-ar
LG-0328,2025-12-04,AP,"Kestrel Freight",97076,2026-01-18,2025-12-20,45,AP-00328,ledger-ap
LG-0400,2025-12-05,AP,"Dunmore Castings",51905,2026-01-04,2025-12-22,30,AP-00400,ledger-ap
LG-0460,2025-12-05,AP,"Bluepeak Energy",19706,2026-01-04,2026-01-02,30,AP-00460,ledger-ap
LG-0016,2025-12-06,AR,"Calder Foods",114660,2026-01-05,2026-01-30,30,AR-00016,ledger-ar
LG-0028,2025-12-06,AR,"Boreal Systems",82298,2026-01-05,2025-12-31,30,AR-00028,ledger-ar
LG-0220,2025-12-06,AR,"Braddock Tooling",11211,2026-01-05,2026-01-03,30,AR-00220,ledger-ar
LG-0496,2025-12-06,AP,"Cindermill Cloud",12752,2026-01-05,2025-12-22,30,AP-00496,ledger-ap
LG-0592,2025-12-06,AP,"Cobblestone Print",3266,2026-01-05,2026-01-07,30,AP-00592,ledger-ap
LG-0112,2025-12-07,AR,"Kelvin Process",36048,2026-01-06,2026-01-20,30,AR-00112,ledger-ar
LG-0148,2025-12-07,AR,"Ellery Chemical",21228,2026-01-06,2026-01-17,30,AR-00148,ledger-ar
LG-0244,2025-12-07,AR,"Fenmore Aggregates",9323,2026-01-06,2026-01-01,30,AR-00244,ledger-ar
LG-0280,2025-12-07,AR,"Oakhurst Timber",7681,2026-01-21,2026-01-20,45,AR-00280,ledger-ar
LG-0304,2025-12-07,AR,"Sturgis Bearing",6102,2026-01-06,2026-01-13,30,AR-00304,ledger-ar
LG-0364,2025-12-07,AP,"Tallow Bay Shipping",33673,2026-01-21,2026-01-25,45,AP-00364,ledger-ap
LG-0388,2025-12-07,AP,"Corvid Alloys",70426,2026-01-21,2026-01-20,45,AP-00388,ledger-ap
LG-0040,2025-12-08,AR,"Attwater Group",50192,2026-01-07,2026-01-14,30,AR-00040,ledger-ar
LG-0352,2025-12-08,AP,"Verity Carriers",48300,2026-01-22,2026-01-22,45,AP-00352,ledger-ap
LG-0556,2025-12-08,AP,"Stonepath Insurance",12543,2026-01-07,2026-01-09,30,AP-00556,ledger-ap
LG-0052,2025-12-09,AR,"Pell & Hardy",55524,2026-01-08,2026-01-12,30,AR-00052,ledger-ar
LG-0292,2025-12-09,AR,"Wexley Plastics",5171,2026-01-08,2026-01-07,30,AR-00292,ledger-ar
LG-0316,2025-12-09,AR,"Halcyon Optics",4396,2026-01-08,2026-01-27,30,AR-00316,ledger-ar
LG-0448,2025-12-09,AP,"Grantham Facilities",21770,2026-01-08,2026-01-07,30,AP-00448,ledger-ap
LG-0568,2025-12-09,AP,"Merrick Safety",4584,2026-01-08,2026-01-08,30,AP-00568,ledger-ap
LG-0604,2025-12-09,AP,"Hargrave Tooling",12540,2026-01-23,2026-01-25,45,AP-00604,ledger-ap
LG-0088,2025-12-10,AR,"Sable Point Marine",33252,2026-01-09,2026-01-16,30,AR-00088,ledger-ar
LG-0340,2025-12-10,AP,"Halden Transport",61829,2026-01-24,2026-01-11,45,AP-00340,ledger-ap
LG-0160,2025-12-11,AR,"Vantage Precision",20487,2026-01-10,2026-01-05,30,AR-00160,ledger-ar
LG-0196,2025-12-11,AR,"Quarry Lane Metals",13737,2026-01-10,2026-01-07,30,AR-00196,ledger-ar
LG-0268,2025-12-11,AR,"Crestline Motors",7433,2026-01-10,2026-01-14,30,AR-00268,ledger-ar
LG-0376,2025-12-11,AP,"Prairie Steel Supply",89997,2026-01-25,2026-01-24,45,AP-00376,ledger-ap
LG-0436,2025-12-11,AP,"Sandoval Bearings",26897,2026-01-10,2026-01-08,30,AP-00436,ledger-ap
LG-0616,2025-12-11,AP,"Wren Calibration",5160,2026-01-10,2026-01-13,30,AP-00616,ledger-ap
LG-0184,2025-12-12,AR,"Delmar Packaging",18121,2026-01-11,2026-01-06,30,AR-00184,ledger-ar
LG-0256,2025-12-12,AR,"Larkspur Dairy",8424,2026-01-26,2026-01-31,45,AR-00256,ledger-ar
LG-0412,2025-12-12,AP,"Whitlock Components",43220,2026-01-11,2026-01-10,30,AP-00412,ledger-ap
LG-0484,2025-12-12,AP,"Lumen Analytics",8467,2026-01-11,2025-12-29,30,AP-00484,ledger-ap
LG-0508,2025-12-12,AP,"Trellis HR Systems",6030,2026-01-11,2025-12-29,30,AP-00508,ledger-ap
LG-0100,2025-12-13,AR,"Ironbridge Rail",29257,2026-01-27,2026-02-11,45,AR-00100,ledger-ar
LG-0124,2025-12-13,AR,"Marrow Fabrication",31695,2026-01-27,2026-01-25,45,AR-00124,ledger-ar
LG-0064,2025-12-14,AR,"Cortland Manufacturing",51355,2026-01-28,2026-01-28,45,AR-00064,ledger-ar
LG-0424,2025-12-14,AP,"Ferris Electronics",40054,2026-01-13,2026-01-11,30,AP-00424,ledger-ap
LG-0472,2025-12-14,AP,"Ormsby Maintenance",16257,2026-01-13,2026-01-11,30,AP-00472,ledger-ap
LG-0520,2025-12-14,AP,"Radley Legal",10253,2026-01-13,2026-01-11,30,AP-00520,ledger-ap
LG-0532,2025-12-14,AP,"Pinehurst Audit",8218,2026-01-28,2026-01-27,45,AP-00532,ledger-ap
LG-0544,2025-12-14,AP,"Kavanagh Consulting",5549,2026-01-13,2026-01-13,30,AP-00544,ledger-ap
LG-0580,2025-12-14,AP,"Aldergate Packaging",19074,2026-01-13,2026-01-13,30,AP-00580,ledger-ap
LG-0005,2026-01-01,AR,"Northwind Logistics",168360,2026-01-31,2026-03-08,30,AR-00005,ledger-ar
LG-0161,2026-01-02,AR,"Vantage Precision",22657,2026-02-01,2026-01-28,30,AR-00161,ledger-ar
LG-0329,2026-01-03,AP,"Kestrel Freight",93330,2026-02-17,2026-01-17,45,AP-00329,ledger-ap
LG-0077,2026-01-04,AR,"Ridgeway Utilities",38653,2026-02-18,2026-02-13,45,AR-00077,ledger-ar
LG-0185,2026-01-04,AR,"Delmar Packaging",12912,2026-02-03,2026-02-03,30,AR-00185,ledger-ar
LG-0245,2026-01-04,AR,"Fenmore Aggregates",8253,2026-02-03,2026-02-01,30,AR-00245,ledger-ar
LG-0257,2026-01-04,AR,"Larkspur Dairy",7427,2026-02-18,2026-02-16,45,AR-00257,ledger-ar
LG-0461,2026-01-04,AP,"Bluepeak Energy",20156,2026-02-03,2026-02-01,30,AP-00461,ledger-ap
LG-0473,2026-01-04,AP,"Ormsby Maintenance",15705,2026-02-03,2026-02-03,30,AP-00473,ledger-ap
LG-0017,2026-01-05,AR,"Calder Foods",107640,2026-02-04,2026-03-03,30,AR-00017,ledger-ar
LG-0053,2026-01-05,AR,"Pell & Hardy",43239,2026-02-04,2026-02-02,30,AR-00053,ledger-ar
LG-0065,2026-01-05,AR,"Cortland Manufacturing",36286,2026-02-19,2026-02-19,45,AR-00065,ledger-ar
LG-0209,2026-01-05,AR,"Ashfield Energy",13954,2026-02-04,2026-01-30,30,AR-00209,ledger-ar
LG-0497,2026-01-05,AP,"Cindermill Cloud",11519,2026-02-04,2026-02-04,30,AP-00497,ledger-ap
LG-0137,2026-01-06,AR,"Thistledown Farms",21266,2026-02-20,2026-02-18,45,AR-00137,ledger-ar
LG-0521,2026-01-06,AP,"Radley Legal",9186,2026-02-05,2026-02-05,30,AP-00521,ledger-ap
LG-0557,2026-01-06,AP,"Stonepath Insurance",10538,2026-02-05,2026-02-05,30,AP-00557,ledger-ap
LG-0593,2026-01-06,AP,"Cobblestone Print",3202,2026-02-05,2026-02-04,30,AP-00593,ledger-ap
LG-0101,2026-01-07,AR,"Ironbridge Rail",27377,2026-02-21,2026-03-05,45,AR-00101,ledger-ar
LG-0197,2026-01-07,AR,"Quarry Lane Metals",15039,2026-02-06,2026-02-04,30,AR-00197,ledger-ar
LG-0341,2026-01-07,AP,"Halden Transport",64551,2026-02-21,2026-02-11,45,AP-00341,ledger-ap
LG-0449,2026-01-07,AP,"Grantham Facilities",22747,2026-02-06,2026-02-06,30,AP-00449,ledger-ap
LG-0569,2026-01-07,AP,"Merrick Safety",4331,2026-02-06,2026-02-05,30,AP-00569,ledger-ap
LG-0029,2026-01-08,AR,"Boreal Systems",59200,2026-02-07,2026-02-08,30,AR-00029,ledger-ar
LG-0113,2026-01-08,AR,"Kelvin Process",34665,2026-02-07,2026-02-02,30,AR-00113,ledger-ar
LG-0149,2026-01-08,AR,"Ellery Chemical",20163,2026-02-07,2026-02-02,30,AR-00149,ledger-ar
LG-0317,2026-01-08,AR,"Halcyon Optics",4525,2026-02-07,2026-02-02,30,AR-00317,ledger-ar
LG-0413,2026-01-08,AP,"Whitlock Components",40893,2026-02-07,2026-01-21,30,AP-00413,ledger-ap
LG-0041,2026-01-09,AR,"Attwater Group",54760,2026-02-08,2026-02-03,30,AR-00041,ledger-ar
LG-0221,2026-01-09,AR,"Braddock Tooling",9649,2026-02-08,2026-02-06,30,AR-00221,ledger-ar
